seniority_level,internship,degree_requirements,programming_languages,type_of_ml,libraries_and_tools,cloud_platforms,key_responsibilities,domain
Mid-Level,False,"Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience","['Python', 'Javascript', 'Hack']","['Recommendation Systems', 'Pattern Recognition', 'Optimization']","['PyTorch', 'TensorFlow']",['Not mentioned'],"['Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models', 'Adapt standard machine learning methods to best exploit modern parallel environments', 'Code deliverables in tandem with the engineering team']",['Social Media']
Early Career,True,Pursuing a bachelor's degree or higher with relevant classwork or internships in Machine Learning,['Python'],"['Natural Language Processing', 'Deep Learning', 'Graph Machine Learning', 'Generative AI', 'MLOps']","['DGL', 'HuggingFace', 'LightGBM', 'NVIDIA NeMo', 'PyTorch', 'SKLearn', 'Transformers', 'XGBoost', 'Jupyter', 'Matplotlib', 'Pandas', 'Weights & Biases', 'Apache Spark', 'DVC', 'LabelBox', 'OpenSearch', 'Postgres/Pgvector', 'Qdrant', 'SQLite', 'Airflow', 'DeepSpeed', 'Docker', 'Grafana', 'Jenkins', 'Kubernetes', 'Ray', 'vLLM', 'WhyLabs']",['AWS'],"['Assist in conducting original work on large proprietary unstructured data and structured datasets, applying advanced NLP techniques to extract insights and build solutions that drive business value.', 'Design, build, and maintain scalable production-ready ML systems', 'Participate in the ML model lifecycle, from problem framing to training, deployment, and monitoring in production', 'Partner with our ML Operations team to deliver solutions for automating the ML model lifecycle, from technical design to implementation']","['Finance', 'Automotive']"
Mid-Level,False,Not mentioned,['Python'],"['Natural Language Processing', 'Deep Learning']","['TensorFlow', 'PyTorch', 'Hugging Face Transformers', 'Eclipse', 'Git']",['AWS'],"['Design, develop, and implement machine learning models with a focus on NLP and LLM applications', 'Perform data preprocessing, feature engineering, and model training on large datasets', 'Fine-tune and optimize LLMs such as GPT, BERT, or similar architectures for specific use cases', 'Build and support AWS architecture and use AWS services']",['Consulting']
Early Career,False,"Bachelor’s or Master’s degree in Computer Science, Data Science, AI, Machine Learning, or a related field",['Python'],"['Supervised Learning', 'Deep Learning', 'MLOps', 'Generative AI']","['TensorFlow', 'PyTorch', 'Scikit-learn', 'Apache Airflow', 'AWS Step Functions', 'Git']","['AWS', 'GCP', 'Azure']","['Develop and optimize feature engineering strategies to support ML models.', 'Build and maintain scalable ML systems for model training, inference, and deployment.', 'Design and implement end-to-end ML pipelines, including data preprocessing, model training, and evaluation.', 'Collaborate with data scientists, software engineers, and product teams to enhance ML capabilities.']","['Finance', 'Telecommunications']"
Mid-Level,False,"B.S. or M.S. in Data Science, Machine Learning, Computer Science, Physics, Econometrics or Economics, Engineering, Mathematics, Applied Sciences, Statistics, or equivalent field",['Python'],"['Anomaly Detection', 'Predictive Modeling', 'Optimization']",['Not mentioned'],['Not mentioned'],"['Develop anomaly detection models for electric grid', 'Lead development of data science capabilities', 'Support creation of data mining architectures and models', 'Write and document Python code for data science']",['Energy']
Mid-Level,False,"Bachelor's degree in mathematics, statistics, physics, economics, engineering, computer science, data, information science, or related quantitative analytic field (or equivalent work experience in lieu of degree)",['SQL'],"['Supervised Learning', 'Deep Learning', 'Predictive Modeling', 'Generative AI']",['Not mentioned'],['Not mentioned'],"['Mines and extracts data and applies statistics, machine learning, and deep learning algorithms.', 'Conducts deep statistical analysis, including predictive and prescriptive modeling.', 'Contributes to or builds the solution to solve a business problem.', 'Prepares final recommendations, ensuring solutions are scalable and implementable.']",['Retail']
Mid-Level,False,Not mentioned,['Not mentioned'],"['Computer Vision', 'Simulation-Based Learning']",['Not mentioned'],['Not mentioned'],"['Architect models that reconstruct detailed mental states from MRI and ultrasound', 'Develop techniques for accurate and performant structural and functional imaging', 'Innovate methods to cleverly accelerate acoustic physics simulation, off-prem and on-device']",['Healthcare']
Early Career,True,"Pursuing or completed Master’s degree in Data Science, Computer Science, or related field",['Python'],"['Supervised Learning', 'Deep Learning', 'MLOps']","['scikit-learn', 'PyTorch', 'TensorFlow', 'Spark', 'Databricks', 'MLflow']",['AWS'],"['Partner with researchers to build, evaluate, and productionize Machine Learning artifacts', 'Contribute to the development of robust, end-to-end ML workflows on Databricks, including feature engineering, model training, evaluation, and deployment', 'Design and maintain scalable data pipelines using Spark and Delta Live Tables', 'Support monitoring, alerting, and CI/CD workflows for ML systems']",['Healthcare']
Not mentioned,False,"Master's or PhD in Computer Science, Data Science, or related field",['Not mentioned'],"['Deep Learning', 'Statistical Modeling', 'Pattern Recognition']",['Not mentioned'],['Not mentioned'],"['Develop and implement cutting-edge AI algorithms and neural networks for real estate applications', 'Develop statistical models for real estate applications', 'Engage in pattern recognition and algorithm development', 'Continuously improve AI technologies']",['Real Estate']
Senior,False,"MS or PhD in Computer Science, Machine Learning, or a related field—or equivalent industry experience",['Python'],"['Generative AI', 'Deep Learning', 'Optimization', 'MLOps']","['PyTorch', 'CUDA', 'Triton', 'TensorRT', 'Nvidia Dynamo', 'Kubernetes']",['Not mentioned'],"['Design and develop core GenAI services and APIs', 'Build and optimize GPU-accelerated pipelines for model training and inference', 'Collaborate with Adobe Research on model inference strategies', 'Foster a culture of innovation and technical excellence']","['Software and Cloud', 'Advertising']"
Mid-Level,False,Bachelor's degree in computer science or equivalent,['Not mentioned'],['Deep Learning'],['Not mentioned'],['Not mentioned'],"['Develop and maintain key tooling for model evaluation', 'Collaborate closely with Applied Scientists to investigate and plan experiments', 'Manage project prioritization, deliverables, timelines, and stakeholder communication', 'Work closely with product teams and scientists to create new techniques and tooling']",['Software and Cloud']
Senior,False,Bachelor's Degree in a relevant technical field such as computer science or equivalent years of practical work experience,['Python'],"['Recommendation Systems', 'Natural Language Processing', 'Computer Vision']","['TensorFlow', 'Caffe2', 'PyTorch', 'Spark ML', 'scikit-learn']",['Not mentioned'],"['Create models which help drive value for users, advertisers, and our company', 'Evaluate the technical tradeoffs of every decision', 'Perform code reviews and ensure exceptional code quality', 'Build robust, lasting, and scalable products']",['Social Media']
Not mentioned,False,Not mentioned,['Python'],"['Deep Learning', 'Natural Language Processing', 'Generative AI', 'Graph Machine Learning', 'Multimodal Learning']","['PyTorch', 'CUDA', 'Triton']",['Not mentioned'],"['Train and fine-tune large language models (LLMs) and multi-modal models (MMMs).', 'Develop and scale trillion-parameter neural networks.', 'Design and implement models capable of solving discrete and continuous constraint reasoning tasks.', 'Develop and evaluate interconnected systems comprising LLMs, NLP models, and retrieval algorithms.']","['Consumer Electronics', 'Industrial Electronics']"
Mid-Level,False,Graduate degree in a quantitative discipline (or equivalent experience) or will be completed within three months.,"['Python', 'SQL', 'SAS']","['Supervised Learning', 'Deep Learning', 'Predictive Modeling', 'MLOps']","['AWS SageMaker', 'Snowflake', 'Flask', 'FastAPI']",['AWS'],"['Transform legacy code into robust, high-quality Python code that complies with internal coding standards and includes comprehensive test coverage', 'Build and maintain scalable machine learning pipelines on AWS cloud platforms using SageMaker and Snowflake', 'Assist in deploying machine learning models into production environments, ensuring scalability, reliability, and performance', 'Work closely with data scientists, machine learning engineers, DevOps and InfoSec teams to initiate and manage various releases']",['Automotive']
Mid-Level,False,Bachelor's Degree in a relevant technical field such as computer science or equivalent years of practical work experience,['Python'],"['Recommendation Systems', 'Generative AI', 'Natural Language Processing', 'Computer Vision']","['TensorFlow', 'Caffe2', 'PyTorch', 'Spark ML', 'scikit-learn']",['Not mentioned'],"['Create models which help drive value for users, advertisers, and our company', 'Evaluate the technical tradeoffs of every decision', 'Perform code reviews and ensure exceptional code quality', 'Build robust, lasting, and scalable products']",['Social Media']
Mid-Level,False,"Bachelor's or Master's degree in Computer Science, Machine Learning, Statistics, Mathematics, or a related field","['Python', 'R', 'C', 'C++', 'SQL', 'Java']","['Deep Learning', 'Predictive Modeling', 'Optimization']","['TensorFlow', 'Keras', 'PyTorch', 'Apache Kafka', 'Spark']",['Not mentioned'],"['Develop and deploy machine learning models, algorithms, and solutions to solve complex business problems.', 'Collect, preprocess, and analyze data to derive valuable insights and patterns for model training and optimization.', 'Collaborate with cross-functional teams to understand business requirements and translate them into machine-learning solutions.', 'Implement and optimize machine learning pipelines, ensuring scalability, reliability, and efficiency of the models.']",['Healthcare']
